hotel,price,score,avg review,reviews count
COQ Hotel Paris,US$361,"8.9
Scored 8.9",Excellent,"2,003"
Castille Paris – Starhotels Collezione,US$931,"8.4
Scored 8.4",Very Good,684
Beau M Paris,US$92,"8.7
Scored 8.7",Excellent,"1,467"
St Christopher's Inn Paris - Canal,US$53,"7.3
Scored 7.3",Good,"7,174"
UCPA SPORT STATION HOSTEL PARIS,US$73,"8.0
Scored 8.0",Very Good,"5,691"
Hotel Eiffel Segur,US$229,"7.8
Scored 7.8",Good,"2,589"
Motel One Paris-Porte Dorée,US$244,"8.7
Scored 8.7",Excellent,"7,486"
Hotel de L'Esperance,US$414,"8.5
Scored 8.5",Very Good,"3,246"
"The Originals City, Hôtel Lecourbe, Paris Tour Eiffel (Inter-Hotel)",US$189,"7.9
Scored 7.9",Good,"1,842"
Hotel d'Espagne,US$428,"8.1
Scored 8.1",Very Good,"1,684"
Generator Paris,US$76,"7.3
Scored 7.3",Good,"10,736"
Hotel Magenta 38 by Happyculture,US$278,"8.2
Scored 8.2",Very Good,"2,284"
Hôtel Bedford,US$359,"8.3
Scored 8.3",Very Good,"2,701"
Chatillon Paris Montparnasse,US$166,"8.1
Scored 8.1",Very Good,"1,514"
Hotel Minerve,US$315,"8.4
Scored 8.4",Very Good,"2,948"
Hôtel Le Daum,US$301,"8.4
Scored 8.4",Very Good,"1,202"
The People - Paris Nation,US$86,"8.4
Scored 8.4",Very Good,"6,528"
Hôtel Du Printemps,US$270,"8.5
Scored 8.5",Very Good,"1,082"
The People - Paris Marais,US$111,"8.3
Scored 8.3",Very Good,"7,352"
Grand Hotel Francais,US$336,"8.5
Scored 8.5",Very Good,776
Hotel London,US$263,"7.8
Scored 7.8",Good,"2,247"
Le Relais du Marais,US$454,"8.0
Scored 8.0",Very Good,"1,565"
Petit Madeleine Hôtel,US$321,"8.5
Scored 8.5",Very Good,"1,136"
Hotel Modern Est,US$219,"7.9
Scored 7.9",Good,"2,612"
Hotel Taylor,US$304,"8.7
Scored 8.7",Excellent,"3,418"
Hotel La Manufacture,US$232,"8.3
Scored 8.3",Very Good,"2,360"
